,description,type,Rent,Rooms,Living space,geometry,Public_transport,Year,City
241,"
Rent a central apartment in District 4
The property, which was renovated in 2019, boasts a very central location, with public transport and shopping opportunities in the immediate vicinity.

This modern 2.5 room city apartment offers you the following comfort:





Read more",Apartment,2500.0,2.5,73.0,POINT (8.5070822 47.38108355),0.0033562599304608177,1973.0,Zürich
242,"
Move in and feel good!
We are renting an attractive apartment with the following advantages as of April 1, 2024 or by arrangement:

- Generous floor plan
- Parquet throughout the apartment
- Modern kitchen with dishwasher and ceramic glass
- Bright bathroom with bathtub and separate toilet
- Practical reduit provides additional storage space
- Easily furnished balcony
- Quiet and very good traffic situation
- No elevator

- Parking spaces available in the underground car park (CHF 120/month)

Public transport can be reached within a few minutes' walk.

Please note that the photos may be example images of a similar apartment in the same development.
Have we piqued your interest? We look forward to your inquiry!
Read more",Apartment,1450.0,4.0,88.0,POINT (8.3872509 47.4572757),0.002151556152620614,1973.0,Otelfingen
243,"
1-room apartment in idyllic Rheinau ZH
As of January 1st, 2023 or by arrangement, we are renting a property at Austrasse 10 in Rheinau",Apartment,630.0,1.0,38.0,POINT (8.605574657816014 47.64532745),0.0006504252591173714,1972.0,Rheinau
244,"
Fashionable Unterstrass, 2 rooms, basement, 10 min. A-sdt
Feel at home, no matter where you want to live. You will love this spaciously furnished District 6, Unterstrass 2-room apartment with modern interior design, fully equipped kitchen, and spacious living room. Ideally located, you are close to the best Zurich has to offer! (ID",Furnished flat,3909.0,2.0,54.0,POINT (8.5423257 47.3873896),0.0017025886915738244,1885.0,Zürich
245,"
Brand new modern and well located studio
This furnished apartment is the ideal accommodation for business travelers coming to Zurich. The furnished apartment impresses with its unique location and elegant design. In the studio you will find everything you need for work and leisure. in the comfortable living/sleeping area you will feel at home and in the kitchen you will find everything you need to cook. Of course, the apartment has its own bathroom with shower. All in all, this furnished business apartment offers all-round comfort in a prime location!

The apartment in Zurich includes the following services: WiFi Internet, satellite TV with international channels, laundry facilities, monthly cleaning (from a stay of 45 nights), bed linen, towels and all additional costs.

In the basement there are washing machines and dryers for free shared use.

The Serafe radio and television fee is not included in the rental price and must be paid by the tenant.

Note: the prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2352.0,1.0,20.0,POINT (8.5780496 47.3520164),0.0014173634024113285,1993.0,Zürich
246,"2 Bedroom in Kloten
Just 1 km from Zurich Airport, the self-check-in Apartment offers you fully equipped accommodation units with kitchenette and free WiFi, and an on-site pub with an inviting terrace also serving food.
All of the apartments feature a bathroom and a kitchenette with a stove, microwave and fridge. TVs and DVD players are available. Washing machines and driers can be used free of charge.


Apartment facilities:
â€¢ Hairdryer
â€¢ Iron
â€¢ Kitchenette
â€¢ Refrigerator
â€¢ Free toiletries
â€¢ Toilet
â€¢ Microwave
â€¢ Private bathroom
â€¢ Heating
â€¢ Flat-screen TV
â€¢ Kitchenware
â€¢ Wardrobe/Closet
â€¢ Stovetop
â€¢ Towels
â€¢ Linen
â€¢ Dining table
â€¢ Upper floors accessible by lift
â€¢ Toilet paper
Free WiFi!

Hinweis: Die angezeigten Preise und Daten sind nicht unbedingt final und sollten nur zu Informationszwecken verwendet werden. Sie sind nicht Vertragsgegenstand und demnach nicht verbindlich.

Energieausweis
Dieses Gebaude unterliegt nicht den Anforderungen der EnEV.
Read more",Furnished flat,3610.0,2.0,40.0,POINT (8.578746 47.4512719),0.0012897441525498575,1968.0,Kloten
247,"
Enchanting old building apartment in Weiach for rent - first occupancy after loving total renovation!
This historic building was built in 1883 and completely renovated in 2022/2023. The 3.5-room apartment on the mezzanine floor has been lovingly renovated and the old elements have been given a new shine. Here you can enjoy the special ambience of this historically renovated old building apartment!
The beautifully processed wooden parquet and the ceiling stucco give the apartment its unique charm. The new elements in the apartment have been harmoniously adapted to the existing ones and create the perfect mix of old and new. The spacious bathroom offers you a practical washing tower and a shower with a shower glass wall. The bright, open kitchen with its large cooking island offers plenty of space for cooking together and leads directly to the small garden via an outside staircase. The apartment has a total of 3.5 rooms and is ideal for singles or couples.
Read more",Apartment,2066.0,3.5,89.0,POINT (8.4365044 47.5570941),0.0006673220384662842,,Weiach
248,"
Brand new modern and well located studio
This furnished apartment is the ideal accommodation for business travelers coming to Zurich. The furnished apartment impresses with its unique location and elegant design. In the studio you will find everything you need for work and leisure. in the comfortable living/sleeping area you will feel at home and in the kitchen you will find everything you need to cook. Of course, the apartment has its own bathroom with shower. All in all, this furnished business apartment offers all-round comfort in a prime location!

The apartment in Zurich includes the following services: WiFi Internet, satellite TV with international channels, laundry facilities, monthly cleaning (from a 45-night stay), bed linen, towels and all additional costs.

In the basement there are washing machines and dryers for free shared use.

The Serafe radio and television fee is not included in the rental price and must be paid by the tenant.

Note: the prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2464.0,1.0,21.0,POINT (8.5780496 47.3520164),0.0014173634024113285,1993.0,Zürich
249,"
Suite next to Oerlikon Train Station
This apartment offers everything you need for a carefree life. In addition to a double bed, this apartment offers a kitchen and a bathroom with a shower.
This business apartment is located in Zurich-Oerlikon, in an up-and-coming district for culture, trade fairs and sports and offers self-service check-in, an equipped kitchen, a bathroom and a balcony with a panoramic view.
The friendly and attractively designed apartment has an absolutely fair price and a perfect cleaning service. This business apartment offers relaxation and tranquility for both leisure and business travelers.

Note: The prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,3230.0,3.0,50.0,POINT (8.5466598 47.4075882),0.002362928100578292,1931.0,Zürich
251,"
spacious apartment in Seefeld and directly located at Zurich Stadelhofen
In the immediate vicinity of Zurich's Seefeld, we rent this modern 2 room apartment by arrangement with the following advantages:

- Noble parquet floor
- Spacious kitchen with ceramic glass, dishwasher, granite cover
- Exclusive bathroom/toilet
- separate toilet
- Washing machine",Apartment,4450.0,2.5,94.0,POINT (8.550075916709428 47.364861000000005),0.0016969604138469914,1929.0,Zürich
252,"
Terrace Grande Loft Single
A unique living concept for a spacious lifestyle with style and a harmonious living atmosphere. A big plus is direct access to the terrace with a view of the urban city. You can find the Grande Lofts in different designs, fully equipped and some with a clever room system. Each design is thoughtfully and tastefully designed to give you the feeling of being at home.

Note: the prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
Energy certificate is not yet available / is currently being applied for
Read more",Furnished flat,2913.0,1.0,30.0,POINT (8.4869214 47.3897448),0.00035926015300393686,1963.0,Zürich
254,"
Cozy apartment near Irchelpark
This apartment in a great, well-connected location offers you the following amenities:

- Living room with parquet floors
- Bedroom with laminate flooring
- Corridor with wall cupboards
- Kitchen with usual standard equipment
- Bathroom/WC with bathtub
- Double washbasin and window
- two balconies
- Basement and attic compartment

The sample photos correspond to the construction standard and may differ slightly from the object on offer. Please see the attached floor plan for the exact room layout.

Parking is currently not available.

Various shopping opportunities such as a Migrolino as well as various service providers and restaurants can be easily reached on foot.

The property is very centrally located between the “Milchbuck” and “Hirschwiesenstrasse” tram stops, which are served by tram lines 4/ 9/ 10/ 14 / 17.

The university's nearby Irchelpark invites you to enjoy extensive leisure activities such as jogging, walking or cycling. For water enthusiasts, the beautiful Allenmoos outdoor pool can be reached in 10 minutes on foot.

Have we piqued your interest?

Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Apartment,1690.0,2.0,54.0,POINT (8.5422622 47.3994619),0.001477573421667578,1943.0,Zürich
255,"
2-room superior apartment
In a central location in Zurich-Schlieren we rent a high-quality furnished 2-room apartment. The apartment is in a modern, renovated and spacious apartment building in Zurich-Schlieren. Large windows guarantee a light-flooded room with a pleasant living atmosphere. The apartment also has a balcony, shower, modern kitchen and a practical layout.

The apartment is a concept that is perfect for traveling business people. Flexible rental contracts, short-term move-in options, high-quality design elements, functional WiFi and an operational printer are some of the amenities of VARIAS Business Apartments.

Note: The prices and dates shown are not necessarily final and should only be used for informational purposes. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2499.0,7.0,35.0,POINT (8.4617627 47.3972363),0.00152829282226376,,Schlieren
256,"
Central location - idyllic and quiet
As of January 16th or by arrangement, we are renting this unique apartment in the beautiful residential area with the following attributes:

- Apartment on the sunny side
- Rooms very bright and spacious
- Entire apartment laid with parquet
- Kitchen with ceramic glass and dishwasher
- TV and telephone connection available in all rooms
- Elevator

good to know:

- Oerlikon train station in the immediate vicinity
- child-friendly environment with lots of entertainment
- Optimal transport connections to local public transport
- Good shopping opportunities in the immediate vicinity

Have we piqued your interest? Then do not hesitate to contact us.

Important->The images are for reference and may differ from reality.
Read more",Apartment,2080.0,3.0,63.0,POINT (8.544339701055332 47.413431900000006),0.0011053896649488536,1931.0,Zürich
257,"
*** Welcome to Rorbas! ***
Beautiful attic apartment directly on the Töss

- Modern designed apartment
- South-west facing balcony
- Entire apartment oak parquet
- Wet room with ceramic tiles
- Bathroom / toilet / shower with tumbler and washing machine

- Parking space can be rented for CHF 120 per month

The pictures correspond to the standard of a model apartment. Deviations are possible.

For the application link and further information, send us a message using the “Contact provider” contact form. You will then receive an automatic message with all the necessary information.
Read more",Attic flat,1880.0,2.5,90.0,POINT (8.578688453940753 47.533621),0.002998786505492724,2009.0,Rorbas
258,"
Beautiful attic apartment in the countryside is waiting for you!
Are you looking for something special? The unique thing? Then this apartment is just right for you!

- Entire apartment with parquet
- Beautiful arch to the living room
- Large living room with cozy fireplace
- Open kitchen with dishwasher and ceramic hob
- Bathroom with bathtub, sink and toilet
- Spacious rooms
- Own cellar compartment
- 50 m to the bus stop

Parking spaces available

The photos show the standard and may differ slightly.

We look forward to seeing you!
Read more",Roof flat,1590.0,3.5,76.0,POINT (8.7238206 47.2758758),0.00446724653760108,1983.0,Oetwil am See
259,"
Limited until March 31, 2025 - Modern apartment as temporary use
Are you used to living at a high standard? Then we have just what you are looking for! The modern property has a high-quality standard of construction and particularly impresses with the following features:

- Parquet floors throughout the apartment
- Modern kitchen with steamer (V-Zug appliances)
- Bath / WC
- Shower/toilet
- Own washing tower (V-Zug devices) in the apartment
- Large sunny balcony
- Public transport (Forchbahn) within a few minutes' walk
reachable
- International school nearby
- own cellar compartment

There will be construction work on the property during the rental period. This will be an effective restriction of around two weeks per apartment. We would be happy to provide you with more information about this in a personal conversation.

Have we piqued your interest? We are looking forward to your contact.

The published images are photos of similar apartments.
Read more",Apartment,4840.0,4.5,156.0,POINT (8.587096568953324 47.34618),0.001599830324539053,2012.0,Zollikon
260,"
Live by the village stream
We rent this beautiful 3.5 room apartment in a central location in Illnau immediately or by arrangement.

The apartment offers you the following facilities:
Living room and bedroom with parquet floor
Kitchen and wet cells with modern, dark tile floor
Large living room with access to the balcony
Pets are allowed in this property.

If required, a parking space can be rented for CHF 120.00 per month.

Vicinity:
Please note that the images serve as reference images and may differ from the original.

Have we piqued your interest? For a viewing appointment, please contact us in writing using the contact form. We look forward to your inquiry.
Read more",Apartment,1700.0,3.5,91.0,POINT (8.721146009298701 47.41218015),0.0032850674838563357,2011.0,Illnau-Effretikon
261,"
This is how it can be lived!
We are renting this modern and bright 3.5 room apartment on the 1st floor in Richterswil as of May 1st.

The apartment offers you the following standard of construction:
Living room and bedroom with parquet floor
Wet cells and kitchen with bright tile floor
Modern, open kitchen with ceramic hob, oven and enough storage space for your kitchen utensils
Pet are allowed.

If required, a parking space can be rented for CHF 150.00 per month.

Vicinity:
Please note that the images serve as reference images and may differ from the original.

Have we piqued your interest?
For a viewing appointment, please contact us in writing using the contact form. We look forward to your inquiry.
Read more",Apartment,1700.0,3.5,81.0,POINT (8.685711294214597 47.20458655),0.0009132798193916287,2004.0,Richterswil
262,"
Central 4.5 room apartment with large balcony
In a central location, a few minutes' walk from Fehraltorf train station, we rent a 4.5 room apartment with the following advantages:

- Parquet throughout the apartment except the bathroom/kitchen
- Open kitchen with dishwasher
- Bathroom/WC with bathtub
- Large balcony of 54m2
- Redoubt
- Cellar compartment with electricity connection
- Train station, Migros and post office in the immediate vicinity

*The pictures show the standard*
Read more",Apartment,1936.0,4.5,95.0,POINT (8.751897974975453 47.3857723),0.0018621304421274465,2005.0,Fehraltorf
263,"
Business Apartment modern interior 55sqm
In a central location in Winterthur, we rent a high-quality furnished 1.5 room apartment. The apartment is in a modern, renovated and spacious apartment building in Winterthur. Large windows guarantee a light-flooded room with a pleasant living atmosphere. The apartment also has a balcony, a bathtub, a modern kitchen and a practical floor plan.

VARIAS Business Apartments is a concept that is perfect for traveling business people. Flexible rental contracts, short-term move-in options, high-quality design elements, functional WiFi and an operational printer are some of the amenities of VARIAS Business Apartments.

Note: The prices and dates shown are not necessarily final and should only be used for informational purposes. They are not part of the contract and therefore not binding.
Read more",Furnished flat,2250.0,2.0,55.0,POINT (8.7541576 47.5049247),0.0006721634764395822,1926.0,Winterthur
264,"
Spacious 2 room apartment
The furnished business apartment is the ideal accommodation for business travelers who come to Zurich with their families. The furnished apartment impresses with its unique location and elegant design. On 40m2 you will find everything you need for work and leisure. A total of four beds are available in two rooms. The bedroom has a double bed. In the living area there is an additional couch with a pull-out function. The spacious living room with adjoining kitchen also offers a comfortable seating area. You can cook in the kitchen and of course there is a bathroom in the apartment. All in all, this furnished business apartment offers all-round comfort in a prime location! A private terrace is another plus of the apartment.

The apartment in Zurich includes the following services: WiFi Internet, satellite TV with international channels, washing facilities, monthly cleaning, bed linen, towels and all additional costs.

Note: The prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2968.0,4.0,40.0,POINT (8.4936102 47.3864258),0.002257640450798922,1964.0,Zürich
265,"
Executive apartment with terrace in Altstetten - no stove!
The apartment has a kitchenette WITHOUT stove and oven (see photo).
A microwave can be provided on request free of charge.
The kitchen also has a Nespresso capsule machine. You will be given two capsules as a welcome gift.
All rooms are modernly furnished with a comfortable seating area, desk and parquet floor.
Bathroom with shower and hairdryer
Free WiFi, USB ports and network cables
Partly TV system with 200 free films
Partly Balcony or terrace
Weekly cleaning service including bed linen change
Breakfast buffet or snacks for on the go in the restaurant on request
There is a separate fitness room in the building.

Note: The prices and dates shown are not necessarily final and should only be used for informational purposes . They are not part of the contract and are therefore not binding.

Energy certificate
Energy certificate is not yet available / is currently being applied for
Read more",Furnished flat,3852.0,1.0,26.0,POINT (8.4869214 47.3897448),0.00035926015300393686,1963.0,Zürich
266,"
Quiet, well-kept property
We are renting this 3-room apartment with an original floor plan in a well-kept property in a central location in Wetzikon as of January 1st, 2024. The house is accessed through a neighborhood street and is therefore very quiet. This charming apartment, for example, is ideal as a first home with, among other things, the following amenities:

- Living room with parquet floors
- Bedroom with Novilon floor
- Kitchen and bathroom were renovated in 2000
- Balcony
- Screed compartment

The sample photos only show the standard of the apartment. Please see the floor plan for the exact room layout.

The ""Wetzikon"" train station with the S-Bahn lines S3, S5, S14 and S15 in the direction of ""Zürich HB"", ""Rapperswil"" and ""Zug"" can be easily reached on foot.

Various shopping opportunities (such as Denner, bakery, etc.) are in the immediate vicinity of the property. Wetzikon offers a wide range of leisure activities, which are also easily accessible on foot or by public transport.

Have we piqued your interest?

Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Apartment,1325.0,3.0,67.0,POINT (8.792471125859107 47.3220851),0.002523287987748629,1955.0,Wetzikon (ZH)
267,"2 Bedroom Apartment Junior Terrace
This charming penthouse apartment with a balcony and a view overlooking the city is a perfect place to unwind after a stressful day. White marble flooring, chic glass elements, bright designer furniture and sand-colored hues give the apartment an elegant touch. The open living and dining area features a snug sitting corner, flat screen TV (excl. tax for the use of TV) and a large dining table. The well-lit, modern kitchen is fully fitted offering a glass ceramic stove, microwave with baking and grill function, coffee maker, as well as pans, crockery and cutlery. Both bedrooms tempt with a comfortable double bed and offer sufficient space to relax. The high quality bathroom with a bathtub features a hair dryer, hand towels and company-branded toiletries.

The residence is situated in a central and yet very quiet area in the trendy Wiedikon district. Directly beside the building lies the Goldbrunnenplatz with its numerous transport links (tram 9/14, bus 32/67), restaurants, cafes and shopping opportunities. Visitors can reach the Wiedikon railway station and the city center in about 10 minutes. Thanks to many parks and green areas guests will be able to escape the urban hustle and bustle in no time. The location constitutes a perfect base for those who want to enjoy all benefits of a central location and still stay close to the nature. Please note that all apartments are equipped with a TV with international channels (TV taxes are not included in the rent).

Read more",Apartment,4180.0,2.0,49.0,POINT (8.5147617 47.3708105),0.0010268201227119685,1932.0,Zürich
268,"
Apartment with charm and character
From December 1st, 2023 or by arrangement, we are renting this beautiful apartment in a central location in District 6. The property was completely renovated in 2012 and offers the following modern interior design:

- Apartment equipped with large-format porcelain stoneware tiles
- Living room/bedroom with oak parquet
- modern kitchen with glass ceramic and steamer
- Bath / WC
- Separate toilet
- own washing tower
- cozy balcony facing the inner courtyard
- Cellar compartment in the basement

Have we piqued your interest? Please contact us to arrange a viewing appointment.

PS: The images published may be photos of similar apartments.
Read more",Apartment,3975.0,5.0,101.0,POINT (8.543978789213995 47.38752805),0.0002646045374190257,1926.0,Zürich
269,"
RENT WITHOUT DEPOSIT! Beautiful apartment with seating is looking for you
The apartment offers the following:

- Kitchen with ceramic hob and dishwasher
- Living room/dining room parquet
- Bathroom/toilet with double sink
- Sep. WC
- Seat
- Cellar compartment
- In a quiet, beautiful residential area
- Good opportunities for shopping
- Near post office and train station

Parking spaces at Fr. 130.00/month. available.

- Pets are not allowed

The pictures show the standard!
Read more",Apartment,1500.0,2.5,77.0,POINT (8.65107365 47.38465215),0.004252676886810133,1989.0,Schwerzenbach
270,"
3.5 room apartment in a central location - RENT WITHOUT DEPOSIT
We are renting out the centrally located 3.5 room living room immediately or by arrangement with a limited period until November 30th, 2026 with the following key details:

- Contemporary kitchen with dishwasher and ceramic hob
- Bath / WC
- Balcony
- 3-piece closet in the corridor
- Basement compartment
- Car parking space can be rented upon request. Fr. 160.--/month

(The images are not object specific)

Have we piqued your interest? We are looking forward to your contact.
Read more",Apartment,2460.0,3.5,81.0,POINT (8.4978148 47.3815526),0.002287118530459712,1986.0,Zürich
271,"
Suite in City
*Please note that these are example photos and that the furniture or interior might vary. The standard of this apartment is as advertised here*
*Please note that these are sample photos and furniture or fittings may vary. The standard of this apartment is as indicated here*.
Quiet suite in the center of Zurich
- completely furnished
- fully equipped kitchen
- Wi-Fi internet access incl.
- 24-hour hotline
- FLAT TV incl.
- all additional costs included (including Electricity, hot water, shared laundry room in the basement, etc.)
- SERAFE NOT INCLUDED.
- Pets on request
- Pitches on request
- CLEANING 1 x per week including but excluding bed linen and towels
- Included Garbage disposal
- Final cleaning included
- There is a fully equipped kitchenette and a private bathroom.

Note: The prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2613.0,1.0,30.0,POINT (8.544295 47.4007855),0.0009481972045687314,1929.0,Zürich
272,"
Modern, freshly renovated apartment with south-facing balcony
We rent this modern 3.5 room apartment in this completely renovated property.

The apartments impress with the following standard of construction:

- Living room and bedroom with parquet floor
- Kitchen and bathroom with ceramic floor tiles
- spacious and bright living room
- Modern kitchen with ceramic hob, oven, refrigerator, dishwasher
- Modern bathroom/toilet with shower and window
- Washing machine/tumble dryer in the apartment
- Built-in cupboards in the entrance offer additional storage space
- covered balcony
- Cellar compartment
- Lift available

It is and sample images that show the expansion standard.

Parking spaces can be rented for CHF 120.00 per month.

The ""Unterengstringen Langacher"" bus station is in the immediate vicinity.

Both the village center with good shopping facilities and the local recreation area along the Limmat can be reached in a few minutes on foot.

Have we piqued your interest? Then contact us directly in the online advertisement via ""Contact seller"". You will then receive an automated e-mail with the viewing information and the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Apartment,2170.0,3.5,80.0,POINT (8.4531094 47.4127261),0.000491264880731876,1965.0,Unterengstringen
273,"Mode Wiedikom 2.5 Zim.+W-T, +Lag, 5 Min. zum Markt
Fuhl dich wie zu Hause, ganz egal wo du mit wohnen willst. Du wirst von dieser komfortabel moblierten District 3, Wiedikon 2-Zimmer Wohnung mit moderner Inneneinrichtung, voll ausgestatteten Kuche, und komfortabel Wohnzimmer. Optimal gelegen, hast du das Beste, was Zurich zu bieten hat, ganz in der Nahe! (ID",Furnished flat,3993.0,1.0,77.0,POINT (8.5187647 47.3703941),0.00040138561987418094,1988.0,Zürich
274,"
Zurich City Suite
Our Zurich City Suite is located within walking distance of the main train station in the heart of the old town in a historic building from the 19th century.

The suite shares an entrance with the office and is completely separated by the hallway and its own soundproof door. Three well furnished rooms, a modern bathroom and an additional separate small guest toilet combine historical flair with modern attributes, classic comfort and urban elegance.

The ""corner room"" of the City Suite with three windows serves as a living room or meeting room and offers a magnificent view of a tree-lined square, a church and the University of Zurich. There is a desk for laptops that can be connected to a 32 inch TV screen via HDMI. The room has comfortable antique chairs and a sofa around a coffee table. The sofa folds out into a double bed (200 x 160 cm) for extra guests.

The bedroom has a large round bed (225 cm), a clothes hanger and a chest of drawers. The bathroom is an elegant, modern shower room with a wide washbasin, a large mirror and an ensuite shower toilet (Geberit). There is also an additional visitor toilet.

The dining room and the open kitchen are combined into one spacious room.

On the 6th floor there is a 220 m2 roof terrace with an impressive 360 degree view over the city, the shared with the residents of the house. The washer and dryer are on the 5th floor. There is also a laundry service across the street.

Note: The prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,3780.0,5.0,60.0,POINT (8.5449309 47.3739318),0.0020061671006422065,1917.0,Zürich
275,"
Living in the countryside
We rent this 5-room apartment in the countryside with the following standard of construction:

- Corridor with redoubt
- large living and dining room
- all rooms with parquet floors
- bright kitchen
- with glass ceramic stove
- bright bathroom with double sink
- separate toilet
- Balcony
- Basement compartment
- Elevator

The sample photos show the standard of the apartment. Please see the attached floor plan for the exact room layout.

Parking spaces can be rented for CHF 130.00 per month.

Local recreation areas are nearby. The old town of Greifensee with its historic center is a popular excursion destination.

Greifensee is 15 km from Zurich and easy to reach by S-Bahn. A train runs to and from Zurich every 15 minutes.

Have we piqued your interest?

Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Apartment,1653.0,5.0,94.0,POINT (8.69104615177369 47.36345585),0.00111119242411216,1970.0,Greifensee
276,"
Exclusive business apartment
This high quality furnished apartment is 56m2 and is located between the 1st and 5th floors, subject to availability. The apartment awaits you with a separate living and sleeping area. The sleeping area is furnished with two box spring beds 90 x 210 cm, in the living area there is a sofa bed 140 x 200 cm. For those who like to cook, the modern and spacious kitchen with adjoining dining and living area is a real delight. A large walk-in rain shower awaits you in the bathroom for a fresh start to the day. For the necessary urban feeling, especially in the warm season, there is a small balcony.
The washing machine and dryer are in the building and can be used against one Surcharge of 5 CHF per use.
Cleaning is included once a week, and final cleaning is already included in the price.

Note: The prices and dates shown are not necessarily final and should only be used for informational purposes. They are not part of the contract and are therefore not binding.

Energy certificate
Energy certificate is not yet available / is currently being applied for
Read more",Furnished flat,3050.0,4.0,56.0,POINT (8.5905104 47.4476434),0.0028449278905729397,1984.0,Kloten
277,"
Single apartment in a top location
We rent this great apartment in a very central location. The apartment offers you the following standard of construction:

- closed kitchen",Apartment,2020.0,1.5,44.0,POINT (8.528048700998081 47.36002675),0.0018205921192983182,1954.0,Zürich
278,"
Your new oasis of well-being in the heart of Zurich-Enge!
We rent this spacious 3.5 room apartment. In addition to the attractive floor plan, this apartment impresses with, among other things, the following comfort:

- Parquet throughout the apartment, some of which are listed buildings
- bright bathroom with mosaic
- Rain shower
- Air conditioning units
- spacious kitchen with ceramic glass, dishwasher, lots of storage space and a large window
- Bathroom with shower
- Bathroom with bathtub

In just a five-minute drive you can reach Zurich train station, from where you can take advantage of the best connections to, for example, Zurich Airport, Winterthur or Baden.

Shops such as a Coop can be reached in just 5 minutes on foot.

There are various leisure options available to you, such as a fitness studio or an indoor swimming pool, which can be reached in a maximum of 5 minutes by car.

Have we piqued your interest?
Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Apartment,5840.0,3.5,137.0,POINT (8.534309811605446 47.36537245),0.0019403798492985843,1905.0,Zürich
279,"
Quiet furnished room with own toilet
An oasis of well-being in the middle of nature, with its own kitchen, toilet and sink and free internet. The furniture is modern and functional. A microwave oven and a refrigerator can be provided on request. The room is very spacious and also very quiet inside the house.

Note: The prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,1390.0,2.0,32.0,POINT (8.7618645 47.3232772),0.005240040372788536,1972.0,Gossau (ZH)
281,"
Loft in the hip Sulzer area! - RENT WITHOUT BAIL!
Light and air fill your new home...


- Exceptional interior and exterior architecture
- Living space approx. 129 m2
- High ceilings and large window fronts
- Parquet and slab coverings
- Kitchen with ceramic glass, dishwasher and steamer
- Bathroom with double sink
- Own washing machine and dryer in the apartment
- Terrace for shared use
- Own cellar compartment
- Lift available
- Directly at Katharina Sulzer Platz
- Train station, shops, restaurants, ZHAW, etc. all within walking or cycling distance

The images correspond to the standard.
- Parking spaces can be rented for CHF 175 per month.

- Photos show a similar apartment


>>> Floor plan see documentation<<<

Further information about the development can be found at www. kranbahn.ch
Read more",Loft,2230.0,1.0,129.0,POINT (8.718508825096624 47.496454),0.0021158306531550365,2004.0,Winterthur
282,"2 Bedroom Apartment Senior Terrace
This spacious recently renovated and freshly furnished apartment with 2 bedrooms and a balcony is a perfect choice for families, flat shares or groups of up to four people. One bedroom serves as an ideal rest area with a comfortable double bed, flat screen TV and plenty of storage space. The bright, adjacent bathroom with a double washbasin and a shower features a hair dryer, hand towels as well as toiletries. The second bedroom is also equipped with a cosy double bed ensuring sufficient privacy and a good night's sleep. The open living and dining area has a sitting corner, flat screen TV as well as a large dining table. The spacious kitchen is modern and fully fitted offering a glass ceramic stove, microwave, oven, coffee maker, kettle as well as pans, crockery and cutlery. The apartment has been recently renovated and features new, modern furnishings and equipment.

The property is situated in the heart of the vibrant 5th district, just below the bridge Hardbr'cke, which connects Zurich West and Aussersihl districts. The up-and-coming industrial district near the Escher-Wyss-Square is home to many office buildings, restaurants, hip small shops and cafes as well as to concert halls, cinemas, green areas and obviously to the river Limmat, that lies right on the doorstep. The lively Langstrasse is within walking distance. In front of the property, visitors will find a tram stop and the Hardbr'cke railway station can be reached in 2 minutes on foot. The station offers plenty of train connections in all directions. The main railway station is just one stop away from the property and the Airport Zurich Kloten can be reached in about 12 minutes.

Read more",Apartment,4080.0,3.0,80.0,POINT (8.5199199 47.3879241),0.00012571795183278242,1983.0,Zürich
283,"
In the middle of Zurich!
As of March 1st, 2024 we are renting this unique apartment in the idyllic residential area with the following attributes:

- Sunny-facing apartment with seating area
- Rooms very bright and spacious
- Entire apartment laid with parquet
- Kitchen with ceramic glass and dishwasher
- TV and telephone connection available in all rooms
- Elevator
- child-friendly environment with lots of entertainment
- optimal transport connections to local public transport
- good opportunities for shopping

Parking spaces can be rented for CHF 130.00 per month.

The images are for reference and may differ from reality.
Read more",Apartment,1975.0,3.5,74.0,POINT (8.590466350000003 47.39990835),0.0013451301626424337,2012.0,Zürich
