,description,type,Rent,Rooms,Living space,Complete Address
318,"
Senior Apartment 2.5 rooms Unterwegli Winterthur
In a central location in Winterthur, we rent a high quality furnished 2.5 room apartment. The apartment is in a modern, renovated and spacious apartment building in Winterthur. Large windows guarantee a light-flooded room with a pleasant living atmosphere. The apartment also has a balcony, a shower, a modern kitchen and a practical floor plan.

VARIAS Business Apartments is a concept that is perfect for traveling business people. Flexible rental contracts, short-term move-in options, high-quality design elements, functional WiFi and an operational printer are some of the amenities of VARIAS Business Apartments.

Note: The prices and dates shown are not necessarily final and should only be used for informational purposes. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2450.0,4.0,46.0,"Tossfeldstrasse, 8406 Winterthur"
319,"
Modern business apartment with 2 rooms
The business apartment at Buckhauserstrasse 16 is ideal for people who are in Zurich on business for a longer or shorter period of time. The apartment has two rooms in total. In the bedroom you will find a large double bed. In the living room there is a comfortable sofa and a seating area with a table and chairs. In the fully equipped kitchen you will find, among other things, hotplates, a microwave, a refrigerator and many more extras. The apartment has a bathroom with shower and toilet and a private terrace.

Note: The prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2800.0,4.0,23.0,"Buckhauserstrasse, 8048 Zürich"
320,"
Apartment in an old building on the Zürichberg
We are renting this charming 4-room apartment in a well-kept property in a preferred location, which impresses with, among other things, the following standard of construction:

- Built-in wardrobes in the corridor
- entire apartment with parquet floors
- large living and dining room
- modern, bright kitchen
- with dishwasher
- with glass ceramic stove
- Bedroom with fitted wardrobes
- bright bathroom
- separate toilet
- three balconies
- Duty room
- Basement compartment

Three bedrooms are connected together with sliding doors.

The sample photos only show the standard of the apartment. Please see the floor plan for the exact room layout.

In just a few minutes' walk you can reach the ""Zürich, Spyriplatz"" stop, from where you can take bus lines 33 and 34 to either Tiefenbrunnen train station or the ""Zürich, Hardplatz"" stop.

The city center of Zurich with good shopping opportunities and various service providers can be reached within a short time.

Have we piqued your interest?

Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Apartment,3127.0,4.0,97.0,"Toblerstrasse 6, 8044 Zürich"
321,"
Attractive apartment in a quiet location
If you are looking for a new home with a spacious floor plan, then you have come to the right place.

- Kitchen with GK and GS
- Whole apartment with parquet
- Bath/toilet and separate shower/toilet
- Large, sunny balcony with a view of the countryside
- Direct staircase from the apartment to an additional work room
- Seuzach train station just a few minutes' walk away

We are looking forward to your contact.

(The pictures show the standard of the property and do not always correspond to the apartment on offer.)
Read more",Apartment,1900.0,4.5,100.0,"Stadlerstrasse 30, 8472 Seuzach"
323,"
Attractive apartment in Glattpark for rent
This unique and charming 2.5 room apartment is located in the Wright Place development. The apartment has the following standard of construction to offer:

- Entrance area with built-in wardrobe
- all rooms with parquet floors (smoked oak)
- modern kitchen with granite top
- with high oven
- with glass ceramic stove
- with dishwasher
- Toilet with bathtub
- Reduit with washing tower
- Loggia with larch grate including socket
- own cellar compartment
- Lift available

These are sample images that show the standard of construction. Deviations are reserved. Please see the floor plan for the exact room layout.

All shops (post office, pharmacy) for your daily needs as well as many other shopping opportunities (Aldi, Denner), cafés, etc. are in the immediate vicinity.

The connection to the public transport network via tram and bus connections is excellent. By tram you can reach Zurich main station in around 30 minutes or the airport in 11 minutes. The motorway connection is less than a kilometer away from the property and a mobility station is also in the immediate vicinity.

The controlled apartment ventilation always creates a pleasant climate and the slat blinds can be conveniently lowered using a motor drive.

You can get an overview of the entire development at www.wright-place.ch/living.

Have we piqued your interest?

Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Apartment,2350.0,2.5,108.0,"Blériot-Allee 12, 8152 Glattpark (Opfikon)"
325,"
Exclusive location in the middle of the Old Town of Winterthur
In the heart of the old town we rent this beautiful apartment with high-quality furnishings and a unique floor plan.

The maisonette apartment has the following to offer:

- bright entrance area with atrium roof
- Living/dining area, kitchen and bathroom with marble flooring
- Rooms with parquet floors
- The standard kitchen offers, in addition to the beautiful look of the granite countertops, a glass ceramic stove and a dishwasher
- Bathroom with toilet and bathtub
- separate toilet
- Balcony on both floors
- Own cellar and attic compartment

The property is located in the middle of the city of Winterthur, just 5 minutes from the main train station. If you rely on public transport, this is the right place for you. All shopping can be done on foot.

We are looking forward to your contact.
Read more",Apartment,2453.0,3.5,103.0,"Untertor 21, 8400 Winterthur"
326,"
The modern apartment is waiting for you!
The Neugut residential complex in Dübendorf is located on the Chriesbach and is surrounded by an extraordinary variety of services, as well as public transport and motorway connections directly in front of the house. Local recreation and culture as well as numerous shopping and catering options are available nearby.

The apartments offer the following standard of construction:
- all living and bedrooms with high-quality light oak parquet
- Multimedia connection in the living room and master bedroom, - - Fiber optic connection option
- Entrance with built-in cupboard
- open, modern kitchen with ceramic glass and dishwasher
- Washing machine and tumble dryer in the apartment
- large balcony
- separate cellar compartment
- Controlled apartment ventilation, buildings in Minergie standard

See for yourself with a personal viewing appointment!

The photos show the standard.
Read more",Apartment,2300.0,3.5,99.0,"Seidenstr. 12, 8600 Dübendorf"
327,"
2 room Apartment in the City of Zurich
fully furnished
- fully equipped kitchen
- Wi-Fi internet access included
- 24-hour hotline
- FLAT TV included
- all additional costs included (including electricity, hot water, shared laundry room in the basement, etc. )
- SERAFE NOT INCLUDED.
- Pets on request
- Parking spaces on request
- CLEANING 1 x per week incl.
- Including rubbish disposal
- Final cleaning included
- There is a fully equipped kitchenette and a private bathroom.

Note: The prices and dates shown are not necessarily final and should be used for informational purposes only. They are not the subject of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2945.0,3.0,28.0,"Langstrasse, 8005 Zürich"
329,"
Your new living realm in Zurich
As of April 16th, 2023 we rent this beautiful 3.5 room apartment.

The apartment offers you the following amenities:
Living room and bedroom with parquet floor
Bathroom and kitchen with easy-care tiled floor
Spacious and bright rooms
Pet are allowed.

If required, a parking space can be rented for CHF 150.00 per month.

Vicinity:
Please note that the images serve as reference images and may differ from the original.

Have we piqued your interest? For a viewing appointment, please contact us in writing using the contact form. We look forward to your inquiry.
Read more",Attic flat,1990.0,3.5,72.0,"Luegislandstrasse 84, 8051 Zürich"
330,"
Your apartment search ends here
We rent this bright 3.5 room apartment on the top floor as of July 1st or by arrangement.

The apartment has the following equipment:
Kitchen and bathroom totally renovated in spring 2018
Kitchen with bright fronts, glass ceramic stove and a lot of storage space
Bathroom equipped with a practical tall cabinet and large vanity unit
If required, a parking space can be rented for CHF 60.00 per month.

Have we piqued your interest? Then we look forward to hearing from you so that we can show you this gem.
Read more",Apartment,1640.0,3.5,82.0,"Bisikonerstrasse 3, 8308 Illnau"
331,"2 Bedroom in Zurich Center
The self-check-in apartments offer a kitchen and a bathroom in a typical Zurich residential district in a quiet location in the city centre, close to the Sihl Promenade and many transport connections.

Friendly and appealingly furnished apartments, fair rates and a perfect housekeeping service guarantee a pleasant stay. The Apartments offer leisure and business travellers alike relaxation and tranquility in apartments with great infrastructure and facilities.

Hinweis: Die angezeigten Preise und Daten sind nicht unbedingt final und sollten nur zu Informationszwecken verwendet werden. Sie sind nicht Vertragsgegenstand und demnach nicht verbindlich.

Energieausweis
Dieses Gebaude unterliegt nicht den Anforderungen der EnEV.
Read more",Furnished flat,3753.0,8.0,70.0,"Zelgstrasse, 8003 Zürich"
332,"
Great attic apartment with large terrace and washing tower
We are renting a well-kept, great 2 1/2-room attic apartment with the following amenities in this modern, child-friendly property (8-family house) as of December 16, 2023 or by arrangement:

- Open kitchen with ceramic hob, dishwasher, combination steamer and granite top
- Living area parquet
- Slab flooring in the kitchen and wet room
- Bath/shower/toilet/lavabo
- Washing tower in the bathroom
- Wall cupboards in the entrance area
- Terrace approx. 127 m2
- Basement compartment

A parking space in the underground car park can be rented for CHF 130 per month. Have we piqued your interest? To arrange a viewing appointment, please contact Mr. Reichenbach, caretaker, available Monday to Friday, 8 a.m. - 12 p.m. and 1 p.m. - 5 p.m.
Read more",Apartment,2548.0,2.5,67.0,"In der Au 49, 8706 Meilen"
335,"
Lifestyle suite in the boutique hotel with community kitchen
- Fully furnished
- Modern and luxurious design
- Box spring bed: High-quality beds for ideal sleeping pleasure
- WiFi and landline connection, TV, free WiFi

Small satellite kitchen/common kitchen in the basement AND ANNEX
- Microwave station
- Cooking stations
- Refrigerator


Mandatory services:
- Taxes CHF 4.-- per person",Furnished flat,2000.0,4.0,45.0,"Eichwatt, 8000 Zürich"
336,"
The lake on your doorstep
We rent this modern apartment in a prime location.

The apartment offers you the following standard of expansion:
- closed kitchen
- ceramic hob
- Dishwasher
- Bathroom with bathtub
- Closet in the corridor
- Laminate in living room and bedroom
- Easy-care ceramic plates in the kitchen, bathroom",Apartment,1400.0,2.0,57.0,"Seeguetstrasse 6, 8820 Wädenswil"
338,"2 Bedroom Apartment Senior
This spacious and tastefully furnished 2 bedroom apartment offers plenty of space and ensures maximum comfort of living. Each of the two separate bedrooms boasts a comfortable double bed and an adjacent bathroom with a shower or bathtub, elegantly separated from the sleeping area by a glass wall. In addition, there is a separate toilet. The highlight of the apartment is its large and open living area with quality leather sofas and armchairs, glass tables and flat screen TV. The trendy kitchen with an open dining area is fully fitted and caters for all the daily needs: from the glass ceramic stove, microwave with baking and grilling options, to dishwasher and coffee maker, to the espresso spoon.

The building is situated in a beautiful location in the 2nd district, just above the left bank of the Zurich lake. The lake promenade and the Belvoir park are just a few steps away. Thanks to the quiet but central location and numerous adjacent green and recreational areas, guests will find here a relaxing respite from the hectic daily routine. Shopping opportunities await the visitors in close proximity, while the city center can be reached in just 10 minutes by public transport. The Airport Zurich Kloten is less than a 40 minutes' drive away.

Read more",Apartment,6100.0,2.0,86.0,"Bellariastrasse 36, 8002 Zürich"
339,"
Your future home in the Rosenberg Center
Your new home is located in beautiful, leafy surroundings and right next to the Rosenberg shopping center:

- Entire apartment with parquet
- Open kitchen with ceramic hob, dishwasher and oven
- Washing machine / tumbler in the apartment (bathroom)
- Spacious balcony
- Cellar compartment
- Elevator
- Minergie residential development with controlled ventilation
- Migros directly in the property (Rosenberg shopping center)
- Very close bus station

Parking space available for CHF 140 per month.

Homepage: http://www.james-winterthur.ch

Have we piqued your interest?

For a viewing appointment, application link and further information, send us a message using the contact form

Read more",Apartment,1923.0,3.5,78.0,"Seuzacherstr. 9a, 8400 Winterthur"
340,"
2 room apartment in the center of Zurich
The self-check-in apartments offer a kitchen and a bathroom in a typical Zurich residential area in a quiet location in the city center, close to the Sihl promenade and many transport connections.

Friendly and attractively furnished apartments, fair prices and a perfect housekeeping service guarantee a pleasant stay. The apartments offer leisure and business travelers alike relaxation and tranquility in apartments with excellent infrastructure and facilities.

Note: The prices and dates shown are not necessarily final and should be used for informational purposes only. They are not the subject of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,3190.0,3.0,30.0,"Zelgstrasse, 8003 Zürich"
342,"
Nice location in Zurich-Witikon
From October 1st, 2023 or by arrangement we are renting a beautiful 4.5 room apartment with 122 m2.

Good transport connections (bus); Near shopping center; Kindergarten and school can be reached in 10 minutes on foot.

We rent in a child-friendly property
- Spacious apartment with fireplace and balcony;
- Partly sloping ceilings;
- Parquet floors throughout the apartment.
- Bath/toilet, shower/toilet and separate toilet
- Kitchen with dishwasher
- Cellar available

Parking spaces can be rented.

The viewing appointment is on: October 11th, 2023 at 4:00 p.m. - 4:30 p.m

The images are example images.

Please ring Tischer’s bell.
Read more",Apartment,2360.0,4.5,122.0,"Wiesliacher 97, 8053 Zürich"
343,"
Exclusive 7-room apartment in Zurich with balconies, fireplace and underground parking
In a well-kept property in a prime location, we offer you a high-quality, renovated 7-room apartment for rent. This exceptional property impresses with its strategic location, which positions it between the districts of Fluntern, Klusplatz and Hottingerplatz. In just a few minutes you can reach both bus and tram stops, which will take you comfortably to downtown Zurich.
The apartment is particularly attractive for families with school-age children, as schools are within walking distance. Nature lovers and sports enthusiasts will appreciate the proximity to the relaxing forests of the Zürichberg.





Read more",Apartment,5800.0,7.0,170.0,"Bergstrasse 76, 8032 Zürich"
346,"
Brand new modern and well located studio
This furnished apartment is the ideal accommodation for business travelers coming to Zurich. The furnished apartment impresses with its unique location and elegant design. In the studio you will find everything you need for work and leisure. in the comfortable living/sleeping area you will feel at home and in the kitchen you will find everything you need to cook. Of course, the apartment has its own bathroom with shower. All in all, this furnished business apartment offers all-round comfort in a prime location!

The apartment in Zurich includes the following services: WiFi Internet, satellite TV with international channels, laundry facilities, monthly cleaning (from a stay of 45 nights), bed linen, towels and all additional costs.

In the basement there are washing machines and dryers for free shared use.

The Serafe radio and television fee is not included in the rental price and must be paid by the tenant.

Note: the prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2464.0,1.0,21.0,"Forchstrasse, 8008 Zürich"
347,"
2 room apartment in the city of Zurich
Quiet 2 room apartment in the center of Zurich
- completely furnished
- fully equipped kitchen
- Wi-Fi internet access incl.
- 24 hour hotline
- FLAT TV incl.
- all additional costs included (incl. electricity, Hot water, communal laundry room in the basement, etc.)
- SERAFE NOT INCLUDED.
- Pets on request
- Parking spaces permitted on request
- Parking spaces on request
- CLEANING 1 time per week included but without bed linen and towels
- Garbage disposal included
- Final cleaning included

Note: The prices and dates shown are not necessarily final and should only be used for informational purposes. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,3040.0,4.0,40.0,"Asylstrasse, 8032 Zürich"
348,"Sonnige Altstetten 3 Zim.,Keller,W-T. 7Min. zum Markt
Entdecke mit dieser 3-Zimmer Wohnung in District 9, Altstetten, was Zurich zu bieten hat. Komm an, und lebe dich sofort in dieser elegant eingerichteten Wohnung mit voll ausgestatteter Kuche, charmant Wohnzimmer und unserem engagierten Support-Team vor Ort ein. (ID",Furnished flat,3403.0,3.0,59.0,"Dachslernstrasse, 8048 Zürich"
350,"
Modern apartment in Zurich
The spacious 2.5 room apartment (66 m2) with two balconies is ideal for expats and can accommodate two people. The apartment has been newly renovated and is furnished in a modern style. The bedroom has a large double bed (210x200 cm), two bedside tables and a large closet. The living room has a sofa to relax on, a large dining table, a comfortable armchair, a sideboard, a multimedia station and a balcony. A separate dining area with an additional balcony, a beautiful kitchen and a bathroom with a bathtub complete this practical city apartment. The WLAN Internet access is included in the booking price - this enables you to easily book our additional room service offers online on site. Also included are all ancillary costs, the weekly cleaning of your apartment, changing the bed linen and shared use of the laundry room.

You can register with the city with the rental agreement.

Note: The prices and dates shown are not mandatory final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,3360.0,4.0,66.0,"Forchstrasse, 8032 Zürich"
351,"
Quiet, furnished room in a shared flat
The beautiful shared room is very bright and extremely quiet. A flat roof that can be walked on is accessible from the room.

An oasis of well-being in the middle of nature, with free internet and a modern, functional infrastructure.

A refrigerator and a microwave oven can be provided for the room on request. Cooking utensils for use in the shared kitchen are available.

Note: The prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,1120.0,2.0,15.0,"Eichholzstrasse, 8614 Bertschikon (Gossau ZH)"
352,"
Central apartment for two
High standing, bright 2.5 room apartment with large kitchen and balcony, very central but quiet location.

The apartment is fully equipped, including a flat screen TV and WiFi. A sofa bed in the living room provides additional sleeping space for guests. Household appliances such as a microwave, coffee maker, kettle, toaster, iron, vacuum cleaner and hair dryer are available. The kitchen is equipped with the usual utensils such as pots, pans, crockery and cutlery.




Please note that the provider charges an additional VAT of 3.7% on the total rental price.

Note: The prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,3854.0,4.0,53.0,"Seefeldstrasse, 8008 Zürich"
353,"2 Bedroom Center Oerlikon
Quiet 2 Room in the center of Oerlikon/ Zurich
- completely furnished
- fully equipped kitchen
- Wi-Fi internet access incl.
- 24 hour hotline
- FLAT TV incl.
- all additional costs included (including electricity, hot water, communal laundry room in the basement, etc.)
- SERAFE NOT INCLUDED.
- Pets on request
- Parking spaces on request
- CLEANING 1 times a week including but excluding bed linen and towels
- Including garbage disposal
- Final cleaning included

Hinweis: Die angezeigten Preise und Daten sind nicht unbedingt final und sollten nur zu Informationszwecken verwendet werden. Sie sind nicht Vertragsgegenstand und demnach nicht verbindlich.

Energieausweis
Dieses Gebaude unterliegt nicht den Anforderungen der EnEV.
Read more",Furnished flat,3230.0,3.0,60.0,"Friesstrasse, 8050 Zürich"
354,"
Residence Apartment for up to 4 people
We are specialized in the rental of first-class equipped and furnished apartments for business travelers as well as private/single living. All you need to move into our apartments is your suitcase? we take care of the rest.
In addition to a fully equipped kitchenette with cutlery, dishwasher, refrigerator, hob and microwave, you will find comfortable queen-size beds, a living and dining area.
The price is for 1 person, double occupancy (for 2 people) is an additional CHF 390.00/month

Our dining tables can be extended so that you can welcome visitors. Even the weekly cleaning is included in the price.

You can organize moving in with the push of a button thanks to our completely digital guest trip. Our self check-in desks are available 24/7 for moving in/checking in, where you can get your personal apartment key by stating your name and the check-in number.

In our apartment building there is also a shared laundry room, a shopping center, a fitness center and a rooftop restaurant with a view over the roofs of Schlieren, which is open almost around the clock for 6 days

- Payment only possible via credit card, first 30 days in advance.
- Self- Check-in point 24/7
- Check-in code will be sent on the day of arrival via SMS or WhatsApp.
- Parking only with advance reservation

Note: The prices and dates shown are not necessarily final and should only be used for informational purposes become. They are not part of the contract and are therefore not binding.

Energy certificate
Energy certificate is not yet available / is currently being applied for
Read more",Furnished flat,3399.0,2.0,61.0,"Zurcherstrasse, 8952 Schlieren"
357,"
Proximity to nature - with a view and a quiet camp
We are renting this beautiful 3.5 room apartment on the 3rd floor (without elevator) in Freienstein with immediate effect. The apartment offers you the following expansion:

Modern kitchen with dishwasher, ceramic glass and dining area
Kitchen, dining area, bathroom and corridor with slab floors
Bright bathroom with bathtub, sink and toilet
Living room with parquet

The outdoor pool with a large playground and sports field can be easily reached on foot. The bus stop and the train station can be reached in a few minutes.

Parking spaces in the underground car park or outside parking spaces can be rented.

Let us convince you of the apartment during a viewing.
Read more",Apartment,1440.0,3.5,76.0,"Im Riet 12, 8427 Freienstein"
360,"
Modern and central apartment!
We rent this 3.5-room apartment, which, in addition to modern furnishings, has the following amenities to offer:

- Living room and bedroom with oak parquet floors
- modern kitchen with oak parquet floors
- Glass ceramic stove and dishwasher
- Shower/toilet with ceramic plates
- Washing tower in the apartment
- spacious loggia
- Electric locking system
- Minergie certificate with controlled living space ventilation
- Basement compartment

The photos are visualizations that are used for illustrative purposes. You can find the exact room layouts on the website atrio-zuerich.ch.

A parking space for CHF 200.00 per month can be rented separately upon request.

ATRIO covers a wide range of needs: Centrally located in a vibrant environment with the best infrastructure and very good connections to public transport, you will find a safe and quiet home that is at the same time a place of retreat and a starting point for city life.

With a wide range of leisure options right on your doorstep, you can quickly cycle out into the countryside after work and on weekends, explore the hustle and bustle of the city with your friends or go to the playground with the kids.

Have we piqued your interest?
Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Apartment,3337.0,3.5,97.0,"Buckhauserstrasse 45, 8048 Zürich"
364,"
Bright business apartment with 2 rooms
The business apartment offers a bedroom with a large double bed and a living room with a sofa bed for two people. The apartment can therefore accommodate up to four people. There is a seating area with a table and a fully equipped kitchen. In addition, the apartment is of course equipped with a bathroom. You can relax in the evening on the apartment's own balcony and end the day comfortably.

In the business apartment there is free Wi-Fi access and satellite TV with international channels is also available. Bed linen, bath towels and use of the washing machine in the basement are included in the price.

Note: The prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2968.0,4.0,40.0,"Buckhauserstrasse, 8048 Zürich"
366,"
Centrally located 4.5 room apartment
We are renting out this unique apartment in the idyllic residential area immediately or by arrangement until November 30, 2026

The apartment impresses with the following key data:
- Parquet floors in all rooms
- Kitchen with ceramic hob and dishwasher
- Bath / WC
- Shower toilet
- Balcony
- Cellar compartment available

Have we piqued your interest?",Apartment,2700.0,4.5,94.0,"Dennlerstr. 24, 8047 Zürich"
367,"
Business Apartment Sihlhof
In Adliswil we rent a high-quality furnished 1.5 room apartment with 33 m2 of living space. The apartment is located in a completely renovated property right next to the Sood-Oberleimbach S-Bahn station. Large windows guarantee a light-flooded room with a pleasant living atmosphere. On request, an underground parking space can be rented.
You can expect an exciting and urban living concept that changes at the touch of a button. With sliding modules, you can create different living situations according to your mood.

Our business apartments are a concept that is perfect for traveling business people. Flexible rental contracts, short-term move-in options, high-quality design elements, functional WiFi and an operational printer are some of the amenities of our business apartments.

Note: The prices and dates shown are not necessarily final and should only be used for informational purposes. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2250.0,1.0,33.0,"Im Sihlhof, 8134 Adliswil"
369,"
Rent a central apartment in District 4
The property, which was renovated in 2019, boasts a very central location, with public transport and shopping opportunities in the immediate vicinity.

This modern 2.5 room city apartment offers you the following comfort:





Read more",Apartment,2500.0,2.5,73.0,"Bienenstr. 7, 8004 Zürich"
370,"
Move in and feel good!
We are renting an attractive apartment with the following advantages as of April 1, 2024 or by arrangement:

- Generous floor plan
- Parquet throughout the apartment
- Modern kitchen with dishwasher and ceramic glass
- Bright bathroom with bathtub and separate toilet
- Practical reduit provides additional storage space
- Easily furnished balcony
- Quiet and very good traffic situation
- No elevator

- Parking spaces available in the underground car park (CHF 120/month)

Public transport can be reached within a few minutes' walk.

Please note that the photos may be example images of a similar apartment in the same development.
Have we piqued your interest? We look forward to your inquiry!
Read more",Apartment,1450.0,4.0,88.0,"Im Brühl 10, 8112 Otelfingen"
371,"
1-room apartment in idyllic Rheinau ZH
As of January 1st, 2023 or by arrangement, we are renting a property at Austrasse 10 in Rheinau",Apartment,630.0,1.0,38.0,"Austrasse 10, 8462 Rheinau"
372,"
Fashionable Unterstrass, 2 rooms, basement, 10 min. A-sdt
Feel at home, no matter where you want to live. You will love this spaciously furnished District 6, Unterstrass 2-room apartment with modern interior design, fully equipped kitchen, and spacious living room. Ideally located, you are close to the best Zurich has to offer! (ID",Furnished flat,3909.0,2.0,54.0,"Turnerstrasse, 8006 Zürich"
373,"
Brand new modern and well located studio
This furnished apartment is the ideal accommodation for business travelers coming to Zurich. The furnished apartment impresses with its unique location and elegant design. In the studio you will find everything you need for work and leisure. in the comfortable living/sleeping area you will feel at home and in the kitchen you will find everything you need to cook. Of course, the apartment has its own bathroom with shower. All in all, this furnished business apartment offers all-round comfort in a prime location!

The apartment in Zurich includes the following services: WiFi Internet, satellite TV with international channels, laundry facilities, monthly cleaning (from a stay of 45 nights), bed linen, towels and all additional costs.

In the basement there are washing machines and dryers for free shared use.

The Serafe radio and television fee is not included in the rental price and must be paid by the tenant.

Note: the prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2352.0,1.0,20.0,"Forchstrasse, 8008 Zürich"
374,"2 Bedroom in Kloten
Just 1 km from Zurich Airport, the self-check-in Apartment offers you fully equipped accommodation units with kitchenette and free WiFi, and an on-site pub with an inviting terrace also serving food.
All of the apartments feature a bathroom and a kitchenette with a stove, microwave and fridge. TVs and DVD players are available. Washing machines and driers can be used free of charge.


Apartment facilities:
â€¢ Hairdryer
â€¢ Iron
â€¢ Kitchenette
â€¢ Refrigerator
â€¢ Free toiletries
â€¢ Toilet
â€¢ Microwave
â€¢ Private bathroom
â€¢ Heating
â€¢ Flat-screen TV
â€¢ Kitchenware
â€¢ Wardrobe/Closet
â€¢ Stovetop
â€¢ Towels
â€¢ Linen
â€¢ Dining table
â€¢ Upper floors accessible by lift
â€¢ Toilet paper
Free WiFi!

Hinweis: Die angezeigten Preise und Daten sind nicht unbedingt final und sollten nur zu Informationszwecken verwendet werden. Sie sind nicht Vertragsgegenstand und demnach nicht verbindlich.

Energieausweis
Dieses Gebaude unterliegt nicht den Anforderungen der EnEV.
Read more",Furnished flat,3610.0,2.0,40.0,"Obstgartenstrasse, 8302 Kloten"
375,"
Enchanting old building apartment in Weiach for rent - first occupancy after loving total renovation!
This historic building was built in 1883 and completely renovated in 2022/2023. The 3.5-room apartment on the mezzanine floor has been lovingly renovated and the old elements have been given a new shine. Here you can enjoy the special ambience of this historically renovated old building apartment!
The beautifully processed wooden parquet and the ceiling stucco give the apartment its unique charm. The new elements in the apartment have been harmoniously adapted to the existing ones and create the perfect mix of old and new. The spacious bathroom offers you a practical washing tower and a shower with a shower glass wall. The bright, open kitchen with its large cooking island offers plenty of space for cooking together and leads directly to the small garden via an outside staircase. The apartment has a total of 3.5 rooms and is ideal for singles or couples.
Read more",Apartment,2066.0,3.5,89.0,"Stadlerstrasse 3, 8187 Weiach"
377,"
Brand new modern and well located studio
This furnished apartment is the ideal accommodation for business travelers coming to Zurich. The furnished apartment impresses with its unique location and elegant design. In the studio you will find everything you need for work and leisure. in the comfortable living/sleeping area you will feel at home and in the kitchen you will find everything you need to cook. Of course, the apartment has its own bathroom with shower. All in all, this furnished business apartment offers all-round comfort in a prime location!

The apartment in Zurich includes the following services: WiFi Internet, satellite TV with international channels, laundry facilities, monthly cleaning (from a 45-night stay), bed linen, towels and all additional costs.

In the basement there are washing machines and dryers for free shared use.

The Serafe radio and television fee is not included in the rental price and must be paid by the tenant.

Note: the prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,2464.0,1.0,21.0,"Forchstrasse, 8008 Zürich"
378,"
Suite next to Oerlikon Train Station
This apartment offers everything you need for a carefree life. In addition to a double bed, this apartment offers a kitchen and a bathroom with a shower.
This business apartment is located in Zurich-Oerlikon, in an up-and-coming district for culture, trade fairs and sports and offers self-service check-in, an equipped kitchen, a bathroom and a balcony with a panoramic view.
The friendly and attractively designed apartment has an absolutely fair price and a perfect cleaning service. This business apartment offers relaxation and tranquility for both leisure and business travelers.

Note: The prices and dates shown are not necessarily final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,3230.0,3.0,50.0,"Gubelstrasse, 8050 Zürich"
379,"
Living in a central location
We rent this beautiful 3.5 room apartment in a central location as of June 1st, 2023.

The apartment offers you the following amenities:
Living room and bedroom with parquet floor
Kitchen and wet room with light, easy-care flagstone floor
Spacious and bright bedrooms
Pet are allowed.

If required, a parking space can be rented for CHF 140.00 per month.

Vicinity:
Please note that the images serve as reference images and may differ from the original.

Have we piqued your interest? For a viewing appointment, please contact us in writing using the contact form. We look forward to your inquiry.
Read more",Apartment,1900.0,3.5,99.0,"Büelstrasse 39, 8132 Egg b. Zürich"
381,"
spacious apartment in Seefeld and directly located at Zurich Stadelhofen
In the immediate vicinity of Zurich's Seefeld, we rent this modern 2 room apartment by arrangement with the following advantages:

- Noble parquet floor
- Spacious kitchen with ceramic glass, dishwasher, granite cover
- Exclusive bathroom/toilet
- separate toilet
- Washing machine",Apartment,4450.0,2.5,94.0,"Mühlebachstr. 28, 8008 Zürich"
