,description,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10
240,"Google translation from the original version (DE)
2 bedroom apartment with patio
As of March 1, 2024, we are renting this attractive 2.0-room apartment in a well-kept property not far from Kreuzplatz, which has, among other things, the following standard of construction:

- all living rooms with parquet floors
- Kitchen with slab floor
- with glass ceramic stove
- with dishwasher
- Bath / WC
- Terrace
- Basement compartment

The rental agreement is initially concluded for a limited period of one year. The rental agreement can then be extended by arrangement.

The photos are sample images that show the standard of construction. You can see the exact room layout in the floor plan.

If required and available, a parking space can be rented.

The property is in close proximity to the lake and Bellevue - the heart of the city. Treat yourself to a trip to the Kunsthaus or the opera, both of which are just a few minutes' walk away.

The Artergut Park is right next to the Zeltweg. Relax in this natural oasis with remarkable trees and historic buildings.


Have we piqued your interest?

Then contact us directly in the online advertisement using “Contact provider”.
You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Apartment,Zeltweg 64,8032 Zürich,Price : CHF 2'337.-/month,Costs : CHF 206.-,2 rooms,1st floor,68 m2 (living space),Built in 1955,Renovated in 1992
241,"Google translation from the original version (DE)
Exclusive lake view: Luxurious living on the lake promenade!
Welcome to your exclusive dream home! We present you an exquisite luxury apartment that not only enchants with charm and elegance, but also offers a first-class location directly on the picturesque lake promenade, crowned by a unique lake view.

This jewel was extensively modernized in 2011 and is characterized not only by its spacious, light-flooded rooms, but also by a contemporary standard of construction.

Let yourself be seduced by the following sophisticated amenities as of April 1st, 2024:

- Entrance with oak parquet floors and built-in cupboards
- Large living/dining room with oak parquet floors
- and a view of beautiful Lake Zurich
- two bedrooms with oak parquet floors
- open and modern kitchen
- with granite top, dishwasher and plenty of storage space
- separate kitchen island with glass ceramic hob, steam hood and bar
- Bathroom with slab floor, bathtub, shower and toilet
- another bathroom with slab floor, shower and toilet
- own washing tower
- Basement compartment
- Elevator

In just a few minutes' walk you can reach Zurich's renowned Bellevue, from where you can explore all directions with regular tram connections. Stadelhofen train station, a hub for first-class S-Bahn connections, is also within easy walking distance.

In addition, there is a wealth of shopping opportunities, first-class restaurants and bars as well as typical Zurich boutiques and service providers right in your neighborhood.

The enchanting promenade along Lake Zurich is practically on your doorstep and invites you to spend relaxing moments by the water, especially in the summer months.

This maisonette apartment offers you a unique perspective on the vibrant city of Zurich. Live your dream of luxury and city life in perfect harmony. Welcome to your new home.

Have we piqued your interest?

Then contact us directly in the online advertisement using “Contact provider”.

You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Duplex,Utoquai 37,8008 Zürich,Price : CHF 8'500.-/month,Costs : CHF 500.-,3.5 rooms,Floor 5,169 m2 (living space),Built in 1910,Renovated in 2011
242,"Google translation from the original version (DE)
LIMITED until the end of September 2024!
Located in a well-kept property in a good traffic location, we are renting this charming 4.0-room apartment for a limited period until the end of September 2024. In addition to an ideal room layout and the cozy balcony, this property has the following amenities to offer you:

- Built-in cupboards in the entrance area
- spacious living room with parquet floors
- three bright bedrooms with parquet floors
- Completed, bright kitchen with PVC floor
- with glass ceramic stove and large refrigerator
- Bathroom with slab floor and sink base
- spacious, comfortable balcony
- Cellar and attic compartment
- no elevator

IMPORTANT: Please note that the apartment is only rented for a limited period until the end of September 2024.

The images correspond to the construction standard and may differ slightly from the object on offer. You can find the exact room layout in the attached floor plan

If required, parking spaces in the underground car park can be rented for CHF 145.00 and outdoor parking spaces for CHF 80.00 per month.

The “Horgen, Widmerheim” bus station with bus lines 131 and 145 in the direction of “Horgen, Bahnhof” and “Thalwil, Zentrum” is located directly on the opposite side of the street from the property.

Right next door, children go to school at the “Tannenbach” school. It is located directly behind the bus station. This makes the apartment particularly attractive for families with school-age children.

In the nearby center of Horgen you will find various shopping opportunities (such as Coop, Migros, Denner) as well as numerous service providers. Furthermore, you can reach a small local shop in two to three minutes on foot which covers your daily needs.

The beautiful Lake Zurich, which invites you to swim, walk and relax, can also be easily reached on foot in just a few minutes.
Here you can switch off and forget about the stressful everyday life!

Have we piqued your interest? Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.

We look forward to receiving your digital application after the viewing.
Read more",Apartment,Einsiedlerstrasse 37,8810 Horgen,Price : CHF 1'530.-/month,Costs : CHF 357.-,4 rooms,Floor 2,74 m2 (living space),Built in 1960,Renovated in 2009
243,"Google translation from the original version (DE)
Spacious apartment in a very central location
The spacious and bright apartment is characterized by the following advantages:

- Open and modern kitchen
- Bright living room with adjoining loggia
- Spacious bedrooms
- Modern bathroom/toilet with washing tower
- Additional toilet with shower
- Cellar compartment included
- Parking space can be rented

Have we piqued your interest?

All available viewing dates can be found at the following link:
https://www.mywincasa.ch/besichtungen/01451.03.3101
Read more",Apartment,Falmenstrasse 2c,8610 Uster,Price : CHF 2'450.-/month,Costs : CHF 330.-,3.5 rooms,1st floor,121 m2 (living space),Built in 2012,Available from 01/03/2024
244,"Google translation from the original version (DE)
In the heart of Zurich!
This very centrally located 4.5 room apartment impresses with the following standard of construction:

- Living room with parquet
- spacious, closed kitchen with glass ceramic stove
- Corridor with clinker floor
- Bath / WC
- Basement, cellar

The apartment is ideal for commuters, as the Stadelhofen train station is in the immediate vicinity. Shops can be reached in just a few minutes on foot. The Living City of Zurich invites you to linger with its wide range of cultural offerings and countless parks and forests.

The pictures published are apartments of similar type. Deviations from the actual offer are therefore possible.

The viewing takes place as follows, no prior registration required.
- Thursday November 16th, 2023
- from 9 a.m. to 3 p.m
Read more",Apartment,Signaustrasse 10,8008 Zürich,Price : CHF 6'120.-/month,Costs : CHF 500.-,4.5 rooms,Floor 3,156 m2 (living space),Available on request,Reference 55060.01.0304
245,"Google translation from the original version (DE)
Modern Living - Altstetten
We rent this dream home, which was newly built in 2021. This modern and trendy 1.5 room apartment is very centrally located and, in addition to an ideal room layout and a great view, offers you the following amenities:

- bright and friendly entrance area
- large windows for perfect lighting conditions
- Living rooms with oak parquet floors and underfloor heating
- modern and open kitchen
- with glass ceramic stove, dishwasher and oven
- with large refrigerator and freezer drawers
- modern bathroom with connection for washing tower
- Balcony
- Basement compartment
- Elevator

The pictures are sample photos that only represent the installation standard. You can find the exact room layout in the attached floor plan.

If required, parking spaces in the in-house underground car park can be rented separately for CHF 190.00 per month and a moped space for CHF 60.00 per month.

Various service providers and numerous shopping opportunities (Coop, Migros or Denner) can be reached in just a few minutes.

Have we piqued your interest?

Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Apartment,Eugen-Huber-Str. 115,8048 Zürich,Price : CHF 1'880.-/month,Costs : CHF 100.-,1.5 rooms,Ground floor,42 m2 (living space),Built in 2020,Available from 01/02/2024
246,"Google translation from the original version (DE)
3-room apartment for rent in the center of Thalwil
As of March 1, 2024, we are renting a 3-room apartment on the ground floor (without elevator).

The apartment is equipped as follows:
- Kitchen with dishwasher and ceramic glass hob",Apartment,Schwandelstr. 18,8800 Thalwil,Price : CHF 2'500.-/month,Costs : CHF 150.-,3 rooms,Floor 2,70 m2 (living space),Built in 1926,Available from 01/03/2024
247,"Studio Apartment Junior
This cozy studio in Italian design offers everything that an apartment needs: a living area with parquet flooring and flat screen TV, a fully fitted kitchenette with a microwave, coffee maker, glass ceramic stove and a complete set of kitchenware, as well as a sleeping area with a comfortable double bed. The elegant marble bathroom provides hand and bathing towels, as well as toiletries and a hair dryer. Curtains and the intercom system ensure sufficient privacy.

The apartment is located in a charming, historical building with a lift, situated in a quiet residential street in the heart of the hip 5th district. The location constitutes an ideal base to discover the urban city life of Zurich. A myriad of restaurants, bars and clubs can be found just around the corner. The hipshopping street Viadukt with many small shops and cafes as well as the beautiful green area Josefwiese and the Limmat river are just steps away from the property. The tram stop Quellenstrasse and the Hardbrücke railway station are also easily accessible on foot. What is more, public transportation provides great connections to the main railway station and the city center visitors will get there in less than 10 minutes. The transfer to the Airport Zurich Kloten takes 20 minutes. Please note that all apartments are equipped with a TV with international channels (TV taxes are not included in the rent).

Read more",Studio,Albertstrasse 7,8005 Zürich,Price : CHF 2'390.-/month,Costs : CHF 89.-,22 m2 (living space),Available on request,Reference Zurich.Albertstrasse.Studio Apartment Junior,Further information,Pets allowed
248,"Studio Apartment Junior Terrace
This small studio with terrace is fully furnished and provides guests with all necessary equipment. The open living area offers a snug double bed, flat screen TV, dining corner, as well as a small lounge. The kitchenette is fully fitted with a glass ceramic stove, microwave with baking and grill function, coffee maker, as well as crockery and cutlery. The separate bathroom with a shower and elegant tiles features hand towels, a hair dryer, as well as company-branded toiletries. Black high-gloss furniture and extravagant wallpapers give the flat a modern touch.

The building is located in the central, yet quieter part of the 2nd district. The direct vicinity boasts numerous restaurants, shopping possibilities, bars, a cinema and other attractions. The shopping center Sihlcity lies within a few minutes' walking distance. Behind it, there extends a plethora of local recreation areas and walking paths. The highway and the railway station Enge, offering diverse suburban railway connections, are not far away. From there it takes about 20 minutes to arrive at the Airport Zurich Kloten by direct train. The closest tram stop is located at Waffenplatz only a few minutes walk from the building. From here, the guests may take a tram to the city center (no. 13), the lake and the Bellevue (no. 5).

Read more",Apartment,Waffenplatzstrasse 72,8002 Zürich,Price : CHF 2'390.-/month,Costs : CHF 89.-,20 m2 (living space),Available on request,Reference Zurich.Waffenplatzstrasse 72.Studio Apartment Junior Terrace,Further information,Balcony
249,"Google translation from the original version (DE)
1 bedroom studio apartment
The apartment for all purposes. The comfortable studio apartment (32 m2) with balcony is suitable for one or - for short stays - also for two people. The 1-room apartment has been newly renovated and is furnished in a modern style. Your studio bedroom is equipped with a multimedia station, a large double bed (160x200 cm), two bedside tables, a large wardrobe and a comfortable armchair as well as a dining table with two chairs and a sideboard. All studios offer a separate kitchen and a bathroom with a bathtub, as well as a corridor with a built-in wardrobe. Wireless Internet access is included in the booking price. Also included are all ancillary costs, the weekly cleaning of your apartment, changing the bed linen and shared use of the laundry room.

You can register with the city with the rental agreement.

Note: The prices and dates shown are not mandatory final and should be used for informational purposes only. They are not part of the contract and are therefore not binding.

Energy certificate
Energy certificate is not yet available / is currently being applied for
Read more",Furnished flat,ForchstraÃŸe,8032 Zürich,Price : CHF 2'520.-/month,1 rooms,Floor 2,32 m2 (living space),Available from 01/04/2024,Reference eb1700c2bbf2bd668559,Furnished
250,"Google translation from the original version (DE)
Charming apartment in a quiet location
We are renting this beautiful 4-room apartment on the 3rd floor in Winterthur as of December 1, 2022. The apartment offers you:
modern kitchen-living room with ceramic tile floor
Living room parquet
3 bedrooms laminate flooring
modern bright bathroom with toilet

The property is located near the Canton Hospital of Winterthur. The city center and Winterthur main train station can be reached in just a few minutes on foot.

If you are interested, a single garage can be rented.

Let us convince you of the apartment during a viewing.

We are looking forward to your contact.

These are sample images that show the standard of construction. Please see the floor plan for the exact room layout.
Read more",Apartment,Schaffhauserstrasse 29,8400 Winterthur,Price : CHF 1'920.-/month,Costs : CHF 200.-,4 rooms,Floor 3,82 m2 (living space),Built in 1967,Available as from now
251,"Google translation from the original version (DE)
3.5-room apartment as of January 1st, 2024 or by arrangement
We are renting this beautiful apartment in a beautiful and quiet environment with good connections to public transport and great walks in the forest as of January 1st, 2024 or by arrangement.

Apartment description:

- Kitchen and bathroom with slab floor
- Parquet in the living room/bedroom
- sunny balcony
- Pets Allowed

A car parking space can be rented from CHF 120.00.

Have we piqued your interest? We look forward to hearing from you.

Note: The images published are apartments of similar type. Deviations are therefore possible.
Read more",Apartment,Püntenstrasse 39,8143 Stallikon,Price : CHF 1'525.-/month,Costs : CHF 275.-,3.5 rooms,1st floor,83 m2 (living space),Available from 01/02/2024,Reference 91020.07.0110
252,"2 Bedroom Apartment Mini
This thought out 2 bedroom apartment can accommodate up to 2 people. Its open dining area features a dining table and a fully fitted kitchen with a glass ceramic stove, microwave, as well as crockery and cutlery. The two separate bedrooms are furnished with a comfortable bed, wardrobe, flat screen TV and a working desk and provide sufficient space for privacy. The bathroom with a shower is well-lit and offers bath towels, a hairdryer as well as toiletries. Ideal for shared accommodation, like two small studios put together with private bathroom which is located opposite side of the corridor.

The property, situated in a building complex with a lift, stands in the up-and-coming district Oerlikon, just behind the railway station. There is also a tram stop (Bahnhof Oerlikon Ost) right on the doorstep. Diverse shopping opportunities, restaurants and bars are located within just a few minutes' walk. The Hallenstadion, a multi-purpose facility where many different major events like fairs, concerts and sport competitions take place, can be reached within 10 minutes by foot. Thanks to great transport links, guests will need only 10-15 minutes to get to the city center as well as to the Airport Zurich Kloten.

Read more",Apartment,Binzmühlestr. 46,8050 Zürich,Price : CHF 2'090.-/month,Costs : CHF 78.-,22 m2 (living space),Available on request,Reference Zurich.Binzmühlestr. 46.2 Bedroom Apartment Mini,Further information,Furnished
253,"Google translation from the original version (DE)
Apartment in a very central location with a sunny balcony
The property is located near the Winterthur Cantonal Hospital and is a few minutes' walk from various grocery stores.

For more convenience, the bus stop is right in front of the front door.

This attractive apartment is equipped as follows:

- Living room and corridor with parquet floors
- Kitchen and bathroom with window
- Glass ceramic hob, dishwasher and oven
- Bathroom with natural light
- Spacious built-in wardrobe in the bedroom, corridor and bathroom
- Balcony with a view of the inner courtyard

***Please note that the photos are only similar to the type and show the installation standard. A floor plan is included.***
Read more",Apartment,Lindstrasse 40-42,8400 Winterthur,Price : CHF 1'495.-/month,Costs : CHF 240.-,4.5 rooms,Floor 3,80 m2 (living space),Built in 1956,Available from 01/02/2024
254,"Google translation from the original version (DE)
Business apartment near the airport
This inexpensive and modernly furnished 3-room apartment (60 m2) in the Zurich agglomeration has its own balcony, a fully equipped kitchen and a bathroom with a bathtub. There are practical built-in wardrobes in the entrance area. The bedrooms have double beds (160x200 cm) and wardrobes, and the larger bedroom also has a desk. If desired, up to two additional beds can be added.

The apartment also includes free WiFi, satellite TV and a flat-screen TV with multimedia system (Blu-Ray/DVD/CD player). Bed linen and towels are provided. A self-service launderette is available on site. We will clean your apartment once a week for an additional charge.

With the rental agreement you can register with the city.

Note: The prices and dates shown are not necessarily final and should only be used for informational purposes. They are not the subject of the contract and are therefore not binding.

Energy certificate
Energy certificate is not yet available / is currently being applied for
Read more",Furnished flat,Ringstrasse,8306 Brüttisellen,Price : CHF 3'013.-/month,4 rooms,1st floor,60 m2 (living space),Available as from now,Reference mgLanhnnWQ9QXrLqD,Furnished
255,"Google translation from the original version (DE)
Fantastic 4.5 room apartment with large rooms and first-class amenities in Glattfelden!
This spacious 4.5 room apartment is located in a quiet and attractive residential area of Glattfelden. It has three bedrooms and two bathrooms, which is ideal for families or couples who need an extra space. The balcony offers wonderful views of the surrounding area and is perfect for relaxing and enjoying the fresh air. A practical reduit and a large cellar offer additional storage space. An indoor parking space is also available to park your vehicle safely and conveniently.
The apartment is characterized by its ideal location in Glattfelden. Shops are only 150m away, schools are 450m away and transport connections are only 200m away. The motorway is 4800m away. This central location offers you the opportunity to have all important facilities and amenities close by.

Read more",Apartment,Strickstrasse 4,8192 Glattfelden,Price : CHF 2'072.-/month,Costs : CHF 158.-,4.5 rooms,118 m2 (living space),Built in 1995,Available from 01/03/2024,Reference a005q000001imbeAAA
256,"Google translation from the original version (DE)
Stylish Hirslanden, 2.5 room. with private garden, cellar, WT
Feel at home, no matter where you want to live. You will love this already furnished District 7, Hottingen 2-room apartment with modern interior design, fully equipped kitchen and living room. Ideally located, you are close to the best Zurich has to offer! (ID",Furnished flat,Kluseggstrasse,8032 Zürich,Price : MON 3'299.-/Month,Costs : MON 3'299.-,75 m2 (surface areas),Available from 08/12/2023,Reference 27fedc259cab45eb1bf4,Lift,Furnished
257,"Google translation from the original version (DE)
Studio in the City of Zurich
fully furnished
- fully equipped kitchen
- Wi-Fi internet access included
- 24-hour hotline
- FLAT TV included
- all additional costs included (including electricity, hot water, shared laundry room in the basement, etc. )
- SERAFE NOT INCLUDED.
- Pets on request
- Pitches on request
- CLEANING 1 x per week incl. but excluding bed linen and towels
- Including rubbish disposal
- Final cleaning included
- It There is a fully equipped kitchenette and a private bathroom.

Note: Prices and dates shown are not necessarily final and should be used for informational purposes only. They are not the subject of the contract and are therefore not binding.

Energy certificate
This building is not subject to the requirements of the EnEV.
Read more",Furnished flat,Langstrasse,8005 Zürich,Price : CHF 2'613.-/month,Floor 5,18 m2 (living space),Available from 09/12/2023,Reference 20f9a42c3093ee5fd019,Furnished,
258,"Google translation from the original version (DE)
Luxury Wiedikon 2.5 room WT, Lag, 1 minute to the market
Come and feel at home from day one in this sophisticated 2-room apartment in Zurich. You will love this tastefully furnished, particularly well thought-out and fully equipped District 3, Wiedikon apartment. (ID",Furnished flat,Schrennengasse,8003 Zürich,Price : MON 2'813.-/Month,Costs : MON 2'813.-,45 m2 (surface areas),Available from 24/12/2023,Reference 2321e353a7114789c535,Lift,Furnished
259,"Studio Apartment Single Kitchenette
A compact apartment that is big in style. Its design was inspired by a sophisticated work of art that ads a great elegant ambiance to the whole studio, in soft pink tones. The ultra-modern furniture used makes every inch count and offers clever solutions to maximize space. You can count , a generous bed, a kitchenette (fridge, microwave) and all the amenities that make a stay pleasant.

The building is centrally located, in the 1st district of Zurich. This location is the perfect choice whether you want to enjoy a shopping tour through the most luxurious stores of the famous Bahnhoftrasse or have an idyllic walk along the shores of the Zurich lake. The beautiful Sihl river is right across the building and all the iconic landmarks of the historic city center are within 500m. The area is surrounded by vibrant business life and important well known headquarters. Easy access to public transportation like Paradeplatz or Zurich main train station are both in close proximity. What is more, the Selnau railways station (50m away) offers excellent connections to the main railway station as well as to the Airport Zurich (approx. 30 minutes).

Read more",Studio,Brandschenkestrasse 10,8001 Zürich,Price : CHF 2'190.-/month,Costs : CHF 81.-,14 m2 (living space),Available on request,Reference Zurich.Brandschenkestrasse.Studio Apartment Single Kitchenette,Further information,Lift
260,"Google translation from the original version (DE)
A happy home start
As of June 1st, 2023 we are renting this beautiful 2.5 room apartment in Winterthur.

The apartment offers you the following amenities:

- Complete apartment with easy-care flagstone floor
- Large living room with lots of natural light
- Bright and spacious rooms
- Open kitchen with ceramic hob, dishwasher, oven at eye level and plenty of storage space for your kitchen utensils
- Bathroom with washbasin, mirror cabinet and shower
- Sunny balcony to linger
- Shared laundry room and drying room

Pets are not allowed in this property.

Vicinity:

- The property has its own playground
- Various shops are in the immediate vicinity
- Versatile offers for families and couples round off the almost perfect location in terms of infrastructure in almost all areas.

Please note that the images serve as reference images and may differ from the original.

Have we piqued your interest? For a viewing appointment, please contact us in writing using the contact form. We look forward to your inquiry.
Read more",Apartment,Wülflingerstrasse 151a,8408 Winterthur,Price : CHF 1'600.-/month,Costs : CHF 165.-,2.5 rooms,1st floor,57 m2 (living space),Available as from now,Reference 12860.01.410030
261,"Google translation from the original version (DE)
Freshly renovated apartment with south-facing balcony
We are renting a modern 2.5-room apartment in this completely renovated property immediately or by arrangement.

The apartments impress with the following standard of construction:

- Living room and bedroom with parquet floors
- Kitchen and bathroom with ceramic floor tiles
- spacious and bright living room
- modern kitchen with glass ceramic stove, oven, refrigerator, dishwasher
- modern bathroom/toilet with shower and window
- Washing machine/tumbler in the apartment
- Built-in cupboards in the entrance provide additional storage space
- covered balcony
- Basement compartment
- Lift available

These are sample images that show the standard of construction.

Parking spaces can be rented for CHF 120.00 per month.

The “Unterengstringen Langacher” bus station is in the immediate vicinity.

Both the village center with good shopping opportunities and the local recreation area along the Limmat can be reached in just a few minutes on foot.

Have we piqued your interest? Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Apartment,Langacherstrasse 14,8103 Unterengstringen,Price : CHF 2'120.-/month,Costs : CHF 300.-,2.5 rooms,1st floor,75 m2 (living space),Built in 1966,Available from 01/03/2024
262,"Google translation from the original version (DE)
Modern and bright apartment in a central location!
In a well-kept and attractive development, we rent a modern, equipped 3.5-room apartment, which has the standard of a condominium.

- Kitchen with steamer, large refrigerator with separate freezer compartment (3 drawers) as well as dishwasher, glass ceramic stove and oven
- Living and bedrooms with beautiful long-strip oak parquet
- Bathrooms and kitchen have easy-care floors with ceramic slats.
- Own washing machine and tumble dryer in the apartment.
- Basement compartment

The property's good traffic location allows you to reach Zurich main station by S-Bahn (line 8) within 30 minutes. The bus stop is a 3-minute walk from the property. Alternatively, you can reach Horgen center and Horgen train station in around 10 minutes on foot. The Horgen center has very good shopping opportunities.

This apartment offers you the following plus points: the Horgen municipality's kindergarten is right next to the property, various children's playgrounds in the development, an idyllic stream to relax in and in just a 5-minute walk you are right on Lake Zurich.

Parking spaces can also be rented.

The published pictures are of typical apartments. Deviations from the actual offer are therefore possible.

Have we piqued your interest? We are looking forward to your contact.
Read more",Apartment,Seestrasse 69,8810 Horgen,Price : CHF 2'750.-/month,Costs : CHF 300.-,3.5 rooms,1st floor,92 m2 (living space),Built in 2010,Available as from now
263,"Google translation from the original version (DE)
Convenient location in Winterthur
We are renting this cozy and beautiful 3-room apartment in a good location. The apartment has the following amenities to offer:

- Living room and bedroom with vinyl flooring
- Kitchen with window and linoleum floor
- Glass ceramic stove
- Oven
- Dishwasher
- Bathroom/toilet
- Balcony

These are sample images that show the expansion standard.
Please see the floor plan for the exact room layout.

The ""Winterthur, Gaswerk"" bus stop, which is served by lines 1, 5, 7 and 11, takes you directly to Wülflingen train station or Winterthur main train station.

Shops such as Migros, Coop, etc. as well as various service providers and restaurants are located very close to the property.

Have we piqued your interest?

Then contact us directly in the online advertisement using “Contact provider”. You will then receive an automated email with the viewing information as well as the opportunity to apply digitally for the apartment and/or to ask us any questions.
Read more",Apartment,Zürcherstrasse 75,8406 Winterthur,Price : CHF 1'350.-/month,Costs : CHF 260.-,3 rooms,Floor 2,62 m2 (living space),Built in 1955,Renovated in 2007
264,"Google translation from the original version (DE)
Lifestyle Deluxe Room
Deluxe Room

- Fully furnished
- Modern and luxurious design
- Box spring bed: High-quality beds for ideal sleeping pleasure
- WiFi and landline connection, TV, free WiFi
-
Small satellite kitchen/communal kitchen in the residence
- Microwave station
- Cooking stations
- Refrigerator


Mandatory services:
- Taxes CHF 4.-- per person",Furnished flat,Eichwatt,8000 Zürich,Price : CHF 1'735.-/month,1 rooms,Floor 2,30 m2 (living space),Available from 08/12/2023,Reference 0e374b477dc6775d1fe8,Furnished
265,"Google translation from the original version (DE)
Your apartment - your paradise
As of June 1st, 2023 we rent this beautiful 2.0 room apartment in a central location.

The apartment offers you the following amenities:
Living room and bedroom with parquet floor
Kitchen and bathroom with low-maintenance bathroom
Spacious living room
Pet are allowed.

Vicinity:
Please note that the images serve as reference images and may differ from the original.

Have we piqued your interest? For a viewing appointment, please contact us in writing using the contact form. We look forward to your inquiry.
Read more",Apartment,Oberseenerstrasse 16,8405 Winterthur,Price : CHF 1'310.-/month,Costs : CHF 200.-,2 rooms,Ground floor,53 m2 (living space),Available as from now,Reference 46464.01.400020
266,"Studio Apartment Junior
This charming studio offers everything one may desire in a place to live. White marble flooring and oversize windows provide a lot of light and make the apartment appear bright and friendly. Natural materials and subtle brown tones fill the flat with an aura of unpretentious elegance. The open living and sleeping area features seats, flat screen TV (excl. tax for the use of TV), as well as a cozy double bed to relax in. The kitchenette is fully fitted and provides for all the daily needs. It includes a glass ceramic stove, microwave with baking and grill function, coffee maker, as well as pans, crockery and cutlery. The separate bathroom with a shower offers a hair dryer, hand towels and company-branded toiletries.

The residence is situated in a central and yet very quiet area in the trendy Wiedikon district. Directly beside the building lies the Goldbrunnenplatz with its numerous transport links (tram 9/14, bus 32/67), restaurants, cafes and shopping opportunities. Visitors can reach the Wiedikon railway station and the city center in about 10 minutes. Thanks to many parks and green areas guests will be able to escape the urban hustle and bustle in no time. The location constitutes a perfect base for those who want to enjoy all benefits of a central location and still stay close to the nature. Please note that all apartments are equipped with a TV with international channels (TV taxes are not included in the rent).

Read more",Apartment,Rotachstrasse 33,8003 Zürich,Price : CHF 2'290.-/month,Costs : CHF 85.-,21 m2 (living space),Available on request,Reference Zurich.Rotachstrasse 33.Studio Apartment Junior,Further information,Lift
267,"Studio Apartment Junior Terrace
This charming studio offers everything one needs to live. The apartment is equipped with a comfortable double bed, sofa and dining table. The fully fitted kitchenette provides for all daily needs: glass ceramic stove, microwave with baking and grilling options, coffee maker, as well as pans, cutlery and crockery. The bathroom with a shower is equipped with hand towels, a hair dryer and toiletries. Excl. tax for the use of TV.

The building is situated in a beautiful location in the 2nd district, just above the left bank of the Zurich lake. The lake promenade and the Belvoir park are just a few steps away. Thanks to the quiet but central location and numerous adjacent green and recreational areas, guests will find here a relaxing respite from the hectic daily routine. Shopping opportunities await the visitors in close proximity, while the city center can be reached in just 10 minutes by public transport. The Airport Zurich Kloten is less than a 40 minutes' drive away.

Read more",Apartment,Bellariastrasse 36,8002 Zürich,Price : CHF 2'990.-/month,Costs : CHF 111.-,31 m2 (living space),Available on request,Reference Zurich.Bellariastrasse 36.Studio Apartment Junior,Further information,Balcony
268,"2 Bedroom Apartment Junior
These spacious 2 bedroom apartments are available in various styles. Black leather furniture, elegant glass tables, as well as mosaic details are the dominant design motifs. The open living area tempts with a snug corner sofa with flat screen TV and a dining area. Two separate bedrooms, each of them offering a comfortable double bed or a sleeping sofa, as well as their own TV-set, ensure sufficient privacy. A fully fitted kitchen with a glass ceramic stove, microwave with baking and grilling options, coffee maker, as well as pans, crockery and cutlery provides for all daily needs. The bathroom with a shower or a corner bath is equipped with hand towels, a hairdryer and toiletries. In selected apartments there is also a balcony. This apartment category may only offers sleeping possibility for three people (double size bed and single size bed).

The apartments are set right in the heart of the lively 4th district there is no better place to experience the urban charm of Zurich at first hand. Diverse restaurants, cafes, shops and local pubs are just a few steps away. The legendary Langstrasse with its numerous bars and clubs also lies a short walking distance from the building. Additionally, there are green spaces and small parks in close proximity. What is more, the location offers superb transport links. Right on the doorstep there is a tram stop Bezirksgebäude. The railway station Wiedikon can be reached within 2 minutes walking distance. From here, there are direct connections to the Airport Zurich Kloten (approx. 20 minutes). The main railway station is located 10 minutes away. Please note that all apartments are equipped with a TV with international channels (TV taxes are not included in the rent).

Read more",Apartment,Cramerstrasse 2-6,8004 Zürich,Price : CHF 4'090.-/month,Costs : CHF 151.-,2 rooms,46 m2 (living space),Available on request,Reference Zurich.Cramerstrasse 2-6.2 Bedroom Apartment Junior,Further information
269,"Google translation from the original version (DE)
In the middle of the city of Zurich, Storchengasse 12 in 8001 Zurich
We are renting a unique and very exclusive 3.5-room attic apartment at Zurich's top address. Absolutely central residential area in Zurich's old town, right next to Bahnhofstrasse and Paradeplatz.

Beautiful 30m2 roof terrace with a fantastic view of the Grossmünster, Limmat and Lake Zurich. Well-equipped white kitchen in high gloss and with stainless steel cover, modern fireplace, parquet floor in fine walnut, open bathroom area in Onsernone stone, comfortable Aqua-Clean toilet, washing machine/tumbler. Of course, the apartment is fully air-conditioned. The passenger elevator takes you to the floor of this 125m2 attic apartment. Enjoy unforgettable sunsets on the large roof terrace or a coffee on the terrace next to the living room. The charm of this
Read more",Duplex,Storchengasse 12,8001 Zürich,Price : CHF 7'560.-/month,Costs : CHF 340.-,3.5 rooms,Floor 5,125 m2 (living space),Available from 01/04/2024,Reference 788700.01.0501
